Ticker,Date,Open,High,Low,Close,Volume,Quarter,Split
NVDA,2025-04-29,107.51932238432488,110.04578062718969,107.2896485179105,108.867431640625,170444300,Q2,train
QQQ,2025-04-29,467.3915381780168,473.60460372916896,466.8149487060188,472.7198486328125,30613100,Q2,train
AAPL,2025-04-30,208.02050829648644,212.2743425468257,205.40658118436116,211.2009429931641,52286500,Q2,train
MSFT,2025-04-30,385.7713570331464,392.0575779640377,379.979364791359,390.673828125,36461100,Q2,train
NVDA,2025-04-30,104.32379376082017,108.76756286621094,103.93434018163836,108.76756286621094,235044600,Q2,train
QQQ,2025-04-30,464.36947606745446,474.3799741649081,459.697238824554,472.6601867675781,46810600,Q2,train
AAPL,2025-05-01,207.80185982414437,213.2483553954001,207.62295230903425,212.0159454345703,57365700,Q2,train
MSFT,2025-05-01,426.1078811300293,431.9196612018972,419.96994327038766,420.4641418457031,58938100,Q2,train
NVDA,2025-05-01,112.92174799120272,114.7791455573913,111.14424029465428,111.45380401611328,236121500,Q2,train
QQQ,2025-05-01,480.5532529218463,484.3009628787672,477.8990181556589,478.8334655761719,43316500,Q2,train
AAPL,2025-05-02,204.8301014441782,205.7246085520007,200.9241340864256,204.0946350097656,101010600,Q2,train
MSFT,2025-05-02,426.7305579775838,434.3412277785372,425.0008630376841,430.2294921875,30757400,Q2,train
NVDA,2025-05-02,114.02021557227994,115.23850951002052,113.21135153306962,114.33976745605467,190194800,Q2,train
QQQ,2025-05-02,483.6647778483157,488.00894827712347,481.9648613296433,485.9412231445313,39218100,Q2,train
AAPL,2025-05-05,201.85841873478097,202.85230555245,196.99831280299983,197.6741485595703,69018500,Q2,train
MSFT,2025-05-05,427.84743296236513,434.4005103334852,427.0962415401901,431.1091613769531,20136100,Q2,train
NVDA,2025-05-05,112.75199823422923,114.50952981770942,112.50234808238876,113.66072082519533,133163200,Q2,train
QQQ,2025-05-05,481.7362227016212,486.14003597307794,481.2391774925475,483.058349609375,28309500,Q2,train
AAPL,2025-05-06,196.9983091053983,199.42338015596505,195.81558138809012,197.2964630126953,51216500,Q2,train
MSFT,2025-05-06,427.1852423209488,432.6510771239263,426.1671945058241,428.2823486328125,15104200,Q2,train
NVDA,2025-05-06,111.32400387233044,114.57943650755207,110.6649237860017,113.38111877441406,158525600,Q2,train
QQQ,2025-05-06,476.7260205679887,482.1835675083398,475.36412148604,478.5650939941406,32786300,Q2,train
AAPL,2025-05-07,197.95242524507103,198.2207789180717,192.0686174137577,195.0502777099609,68536700,Q2,train
MSFT,2025-05-07,428.80620435216304,433.0365428333408,426.1078693467033,428.3218994140625,23295300,Q2,train
NVDA,2025-05-07,112.8918038042742,117.5153219594032,112.12287705585727,116.89618682861328,206758800,Q2,train
QQQ,2025-05-07,479.2310866723673,482.9291041737698,473.9624196873836,480.4438781738281,38006300,Q2,train
AAPL,2025-05-08,196.5113045675241,198.82706269335063,193.4898801219913,196.28271484375,50478900,Q2,train
MSFT,2025-05-08,432.8487322038109,438.5221520354275,430.6050816589352,433.0859680175781,23491300,Q2,train
NVDA,2025-05-08,118.084515254596,118.51391379663416,115.68787240644632,117.20574951171876,198428100,Q2,train
QQQ,2025-05-08,485.6430214704163,489.7883921245775,481.3088015351198,485.4044494628906,39577600,Q2,train
AAPL,2025-05-09,197.78348851905432,199.3140676367793,196.3324070058388,197.3163604736328,36453900,Q2,train
MSFT,2025-05-09,434.8947187750956,435.6261229679929,430.8225275981773,433.6394653320313,15324200,Q2,train
NVDA,2025-05-09,117.18577270674557,118.06454606438504,115.0487681449328,116.48675537109376,132972200,Q2,train
QQQ,2025-05-09,487.3130565449711,488.63521379310254,483.326774588034,485.0863037109375,27767400,Q2,train
AAPL,2025-05-12,209.95526516858175,210.2538252478288,205.75556156059076,209.776123046875,63775800,Q2,train
MSFT,2025-05-12,440.7657862582039,444.155980926374,434.6772567640601,444.0472717285156,22821900,Q2,train
NVDA,2025-05-12,121.79931583574869,122.82787322998048,120.11167839159091,122.82787322998048,225023300,Q2,train
QQQ,2025-05-12,503.99391286415016,504.88861854839246,498.51649505607935,504.8488464355469,45090600,Q2,train
AAPL,2025-05-13,209.4178474798385,212.37356332026263,207.99473291206183,211.90582275390625,51909300,Q2,train
MSFT,2025-05-13,442.5844751269483,445.4409573721911,440.1925407492767,443.9287109375,23618800,Q2,train
NVDA,2025-05-13,124.8051066300396,131.03637225526788,124.295818189616,129.7481689453125,330430100,Q2,train
QQQ,2025-05-13,506.151126830997,514.3325026354601,505.4155095627927,512.5431518554688,53269600,Q2,train
AAPL,2025-05-14,211.40822571910564,212.9109724892217,209.56713314477625,211.3087158203125,49325800,Q2,train
MSFT,2025-05-14,442.940276452347,448.6334230518337,442.940276452347,447.6845703125,19902800,Q2,train
NVDA,2025-05-14,133.01358451331882,135.25045513495294,131.49570747587302,135.1505889892578,281180800,Q2,train
QQQ,2025-05-14,513.7161819509431,516.1616058199734,512.7021901958013,515.6148681640625,47014500,Q2,train
AAPL,2025-05-15,209.93535780893237,211.93569971673276,208.53213606160296,210.43295288085935,45029500,Q2,train
MSFT,2025-05-15,446.3576953837484,451.7246558325709,446.0210270484144,448.6946105957031,21992300,Q2,train
NVDA,2025-05-15,134.10204362723803,136.10924022234616,132.47433530494334,134.64129638671875,226632600,Q2,train
QQQ,2025-05-15,513.4676100523011,518.8456125999866,512.125551562593,516.1814575195312,50153300,Q2,train
AAPL,2025-05-16,211.33858120774948,211.54757782116647,208.7610423595207,210.24386596679688,54737900,Q2,train
MSFT,2025-05-16,447.6251542704443,449.9125407132096,444.3376746324017,449.8234252929688,23849800,Q2,train
NVDA,2025-05-16,136.02937003025397,136.15919297953724,133.27323795943153,135.21051025390625,226542500,Q2,train
QQQ,2025-05-16,517.5830873308704,518.6169801912382,514.0441278903378,518.4281005859375,48394600,Q2,train
AAPL,2025-05-19,206.90999202317107,208.4724326946764,203.2775387890809,207.7758026123047,46140500,Q2,train
